"mes","CotacaoDolar","CotacaoBrentReais","ValorBrentEmDolar","Sigla_regiao","mediaPrecoEtanol","mediaPrecoGasolina","mediaTribEstadual","mediaTribFederal","mediaDistRev","medianaPrecoEtanol","medianaPrecoGasolina","medianaTribEstadual","medianaTribFederal","medianaDistRev","MediaIPCAMes","MedianaIPCAMes","mediaGasolinaBomba","ImpPercMedia","medianaGasolinaBomba","ImpPercMediana","PIM","Estoque_Empregos","mediaCDI","IBC","MassaRendimento"
"2019-10",4.07968571428571,243.299104357143,59.6414285714286,"S",0.53649,1.2950054,1.19544215464537,0.686868,0.493194445354634,0.53649,1.2950054,1.19544215464537,0.686868,0.493194445354634,-0.00518838789376158,-0.00518838789376158,4.207,28.4155491952786,4.207,28.4155491952786,86.3,"39.488.567,00",5.37826086956522,"142,76","150599"
"2019-11",4.16744615384615,262.332777461538,62.9323076923077,"SE",0.563085,1.3913873,1.24106905899274,0.686868,0.559590641007256,0.563085,1.3913873,1.24106905899274,0.686868,0.559590641007256,0.387737041719343,0.387737041719343,4.442,27.9394205086164,4.442,27.9394205086164,79.1,"39.589.164,00",4.9,"138,84","151250"
"2019-11",4.16744615384615,262.332777461538,62.9323076923077,"S",0.563085,1.3327537,1.19685731951283,0.686868,0.542435980487171,0.563085,1.3327537,1.19685731951283,0.686868,0.542435980487171,0.243854231006794,0.243854231006794,4.322,27.6922100766504,4.322,27.6922100766504,79.1,"39.589.164,00",4.9,"138,84","151250"
"2019-11",4.16744615384615,262.332777461538,62.9323076923077,"N",0.5755725,1.2738938,1.21545777677198,0.686868,0.754207923228023,0.5755725,1.2738938,1.21545777677198,0.686868,0.754207923228023,0.846,0.846,4.506,26.974207207545,4.506,26.974207207545,79.1,"39.589.164,00",4.9,"138,84","151250"
"2019-11",4.16744615384615,262.332777461538,62.9323076923077,"CO",0.567432,1.4368444,1.25202449350629,0.686868,0.491831106493709,0.567432,1.4368444,1.25202449350629,0.686868,0.491831106493709,0.318101265822785,0.318101265822785,4.435,28.230541003524,4.435,28.230541003524,79.1,"39.589.164,00",4.9,"138,84","151250"
"2019-11",4.16744615384615,262.332777461538,62.9323076923077,"BR",0.566884163095699,1.3385426,1.24028855763205,0.686868,0.595416679272254,0.566884163095699,1.3385426,1.24028855763205,0.686868,0.595416679272254,0.51,0.51,4.428,28.0101300278241,4.428,28.0101300278241,79.1,"39.589.164,00",4.9,"138,84","151250"
"2019-11",4.16744615384615,262.332777461538,62.9323076923077,"NE",0.5755725,1.2358608,1.28767693318273,0.686868,0.681021766817266,0.5755725,1.2358608,1.28767693318273,0.686868,0.681021766817266,0.0885840151038389,0.0885840151038389,4.467,28.8264368297007,4.467,28.8264368297007,79.1,"39.589.164,00",4.9,"138,84","151250"
"2019-12",4.11218181818182,273.810131727273,66.6072727272727,"CO",0.600669,1.4963394,1.28042702631544,0.686868,0.523696573684557,0.600669,1.4963394,1.28042702631544,0.686868,0.523696573684557,0.63620253164557,0.63620253164557,4.588,27.9081740696478,4.588,27.9081740696478,59.8,"39.281.853,00",4.59047619047619,"137,54","160096"
"2019-12",4.11218181818182,273.810131727273,66.6072727272727,"S",0.590949,1.38627,1.22862467137619,0.686868,0.620288328623807,0.590949,1.38627,1.22862467137619,0.686868,0.620288328623807,0.596664607782582,0.596664607782582,4.513,27.2241230085573,4.513,27.2241230085573,59.8,"39.281.853,00",4.59047619047619,"137,54","160096"
"2019-12",4.11218181818182,273.810131727273,66.6072727272727,"SE",0.590949,1.4415018,1.24698853877274,0.686868,0.594692661227256,0.590949,1.4415018,1.24698853877274,0.686868,0.594692661227256,0.515136355427127,0.515136355427127,4.561,27.3402442177755,4.561,27.3402442177755,59.8,"39.281.853,00",4.59047619047619,"137,54","160096"
"2019-12",4.11218181818182,273.810131727273,66.6072727272727,"BR",0.59265274131961,1.4040455,1.2557684217285,0.686868,0.615665336951891,0.59265274131961,1.4040455,1.2557684217285,0.686868,0.615665336951891,1.15,1.15,4.555,27.5690103562788,4.555,27.5690103562788,59.8,"39.281.853,00",4.59047619047619,"137,54","160096"
"2019-12",4.11218181818182,273.810131727273,66.6072727272727,"N",0.593811,1.3325931,1.20824400294562,0.686868,0.670483897054375,0.593811,1.3325931,1.20824400294562,0.686868,0.670483897054375,1.61922580645161,1.61922580645161,4.492,26.8976848385045,4.492,26.8976848385045,59.8,"39.281.853,00",4.59047619047619,"137,54","160096"
"2019-12",4.11218181818182,273.810131727273,66.6072727272727,"NE",0.593811,1.3444337,1.30733501413634,0.686868,0.659552285863664,0.593811,1.3444337,1.30733501413634,0.686868,0.659552285863664,0.485286343612335,0.485286343612335,4.592,28.4698391580213,4.592,28.4698391580213,59.8,"39.281.853,00",4.59047619047619,"137,54","160096"
"2020-01",4.15099285714286,267.196844571429,64.43,"SE",0.608715,1.4100461,1.29230203139987,0.686868,0.593068868600129,0.608715,1.4100461,1.29230203139987,0.686868,0.593068868600129,0.200007510326699,0.200007510326699,4.591,28.1485957612692,4.591,28.1485957612692,71.7,"39.399.646,00",4.4,"133,61","179646"
"2020-01",4.15099285714286,267.196844571429,64.43,"BR",0.616711785179645,1.3698815,1.29070360030444,0.686868,0.61583511451591,0.616711785179645,1.3698815,1.29070360030444,0.686868,0.61583511451591,0.21,0.21,4.57999999999999,28.1813013166909,4.57999999999999,28.1813013166909,71.7,"39.399.646,00",4.4,"133,61","179646"
"2020-01",4.15099285714286,267.196844571429,64.43,"S",0.608715,1.3548581,1.27286555998955,0.686868,0.586693340010454,0.608715,1.3548581,1.27286555998955,0.686868,0.586693340010454,0.0876467065868264,0.0876467065868264,4.51,28.223183148327,4.51,28.223183148327,71.7,"39.399.646,00",4.4,"133,61","179646"
"2020-01",4.15099285714286,267.196844571429,64.43,"N",0.6373485,1.2741055,1.24067639309732,0.686868,0.794001606902682,0.6373485,1.2741055,1.24067639309732,0.686868,0.794001606902682,0.345303370786517,0.345303370786517,4.633,26.7791148952584,4.633,26.7791148952584,71.7,"39.399.646,00",4.4,"133,61","179646"
"2020-01",4.15099285714286,267.196844571429,64.43,"NE",0.6373485,1.3218767,1.32050974019575,0.686868,0.631397059804248,0.6373485,1.3218767,1.32050974019575,0.686868,0.631397059804248,0.128980367321089,0.128980367321089,4.598,28.7192200999511,4.598,28.7192200999511,71.7,"39.399.646,00",4.4,"133,61","179646"
"2020-01",4.15099285714286,267.196844571429,64.43,"CO",0.611199,1.4562186,1.29677342573195,0.686868,0.549940974268046,0.611199,1.4562186,1.29677342573195,0.686868,0.549940974268046,0.0425510204081633,0.0425510204081633,4.601,28.184599559486,4.601,28.184599559486,71.7,"39.399.646,00",4.4,"133,61","179646"
"2020-02",4.36674166666667,243.14567925,55.6708333333333,"SE",0.617166,1.3269502,1.29675888280008,0.686868,0.632256917199924,0.617166,1.3269502,1.29675888280008,0.686868,0.632256917199924,0.139399173864063,0.139399173864063,4.56,28.4376947982473,4.56,28.4376947982473,76.6,"39.625.294,00",4.19166666666667,"134,64","181171"
"2020-02",4.36674166666667,243.14567925,55.6708333333333,"BR",0.617584622628,1.2812814,1.29072767378975,0.686868,0.658538303582249,0.617584622628,1.2812814,1.29072767378975,0.686868,0.658538303582249,0.25,0.25,4.535,28.4614702048457,4.535,28.4614702048457,76.6,"39.625.294,00",4.19166666666667,"134,64","181171"
"2020-02",4.36674166666667,243.14567925,55.6708333333333,"S",0.617166,1.2692364,1.27493859013455,0.686868,0.619791009865452,0.617166,1.2692364,1.27493859013455,0.686868,0.619791009865452,0.0824910179640718,0.0824910179640718,4.468,28.5348833960284,4.468,28.5348833960284,76.6,"39.625.294,00",4.19166666666667,"134,64","181171"
"2020-02",4.36674166666667,243.14567925,55.6708333333333,"N",0.620271,1.2010325,1.19632055658099,0.686868,0.911507943419014,0.620271,1.2010325,1.19632055658099,0.686868,0.911507943419014,0.185932584269663,0.185932584269663,4.616,25.9168231495015,4.616,25.9168231495015,76.6,"39.625.294,00",4.19166666666667,"134,64","181171"
"2020-02",4.36674166666667,243.14567925,55.6708333333333,"NE",0.620271,1.203843,1.31876021213573,0.686868,0.682257787864272,0.620271,1.203843,1.31876021213573,0.686868,0.682257787864272,0.0606966434452185,0.0606966434452185,4.512,29.2278415810224,4.512,29.2278415810224,76.6,"39.625.294,00",4.19166666666667,"134,64","181171"
"2020-02",4.36674166666667,243.14567925,55.6708333333333,"CO",0.612738,1.3644211,1.30852578208194,0.686868,0.585447117918064,0.612738,1.3644211,1.30852578208194,0.686868,0.585447117918064,0.0765918367346939,0.0765918367346939,4.558,28.7083322089061,4.558,28.7083322089061,76.6,"39.625.294,00",4.19166666666667,"134,64","181171"
"2020-03",4.89271666666667,166.968496583333,34.5483333333333,"SE",0.545967,1.1112936,1.2852307042607,0.686868,0.789640695739301,0.545967,1.1112936,1.2852307042607,0.686868,0.789640695739301,0.0545475028163725,0.0545475028163725,4.419,29.0841978787214,4.419,29.0841978787214,72.3,"39.348.944,00",3.94545454545455,"136,69","172286"
"2020-03",4.89271666666667,166.968496583333,34.5483333333333,"N",0.573589296,0.9753165,1.22889954399801,0.686868,1.03232666000199,0.573589296,0.9753165,1.22889954399801,0.686868,1.03232666000199,-0.141662921348315,-0.141662921348315,4.497,27.327096820058,4.497,27.327096820058,72.3,"39.348.944,00",3.94545454545455,"136,69","172286"
"2020-03",4.89271666666667,166.968496583333,34.5483333333333,"S",0.545967,1.0230731,1.26357240678448,0.686868,0.78251949321552,0.545967,1.0230731,1.26357240678448,0.686868,0.78251949321552,-0.164982035928144,-0.164982035928144,4.302,29.3717435328796,4.302,29.3717435328796,72.3,"39.348.944,00",3.94545454545455,"136,69","172286"
"2020-03",4.89271666666667,166.968496583333,34.5483333333333,"NE",0.573589296,1.0283948,1.31126706767884,0.686868,0.816880836321159,0.573589296,1.0283948,1.31126706767884,0.686868,0.816880836321159,0.0644901836605447,0.0644901836605447,4.417,29.6868251681875,4.417,29.6868251681875,72.3,"39.348.944,00",3.94545454545455,"136,69","172286"
"2020-03",4.89271666666667,166.968496583333,34.5483333333333,"CO",0.54324,1.14902,1.33312012343094,0.686868,0.698751876569061,0.54324,1.14902,1.33312012343094,0.686868,0.698751876569061,-0.314877551020408,-0.314877551020408,4.411,30.2226280532972,4.411,30.2226280532972,72.3,"39.348.944,00",3.94545454545455,"136,69","172286"
"2020-03",4.89271666666667,166.968496583333,34.5483333333333,"BR",0.553192161509803,1.0674571,1.28653870573157,0.686868,0.805944032758627,0.553192161509803,1.0674571,1.28653870573157,0.686868,0.805944032758627,0.07,0.07,4.4,29.2395160393539,4.4,29.2395160393539,72.3,"39.348.944,00",3.94545454545455,"136,69","172286"
"2020-04",5.31320769230769,94.0374269230769,17.8053846153846,"S",0.415476,0.6753595,1.12121748299581,0.686868,0.907079017004185,0.415476,0.6753595,1.12121748299581,0.686868,0.907079017004185,-0.0257784431137725,-0.0257784431137725,3.806,29.4592086966845,3.806,29.4592086966845,47.4,"38.385.241,00",3.65,"119,12","151517"
"2020-04",5.31320769230769,94.0374269230769,17.8053846153846,"N",0.4502090295,0.5902561,1.14817552122353,0.686868,1.20549134927647,0.4502090295,0.5902561,1.14817552122353,0.686868,1.20549134927647,-0.115101123595506,-0.115101123595506,4.081,28.1346611424536,4.081,28.1346611424536,47.4,"38.385.241,00",3.65,"119,12","151517"
"2020-04",5.31320769230769,94.0374269230769,17.8053846153846,"NE",0.4502090295,0.631377,1.25238108654663,0.686868,0.931164883953365,0.4502090295,0.631377,1.25238108654663,0.686868,0.931164883953365,-0.0606966434452185,-0.0606966434452185,3.952,31.6898048215241,3.952,31.6898048215241,47.4,"38.385.241,00",3.65,"119,12","151517"
"2020-04",5.31320769230769,94.0374269230769,17.8053846153846,"SE",0.415476,0.7450161,1.17169394272274,0.686868,0.948945957277262,0.415476,0.7450161,1.17169394272274,0.686868,0.948945957277262,-0.224305555555556,-0.224305555555556,3.968,29.5285771855529,3.968,29.5285771855529,47.4,"38.385.241,00",3.65,"119,12","151517"
"2020-04",5.31320769230769,94.0374269230769,17.8053846153846,"CO",0.393606,0.7871663,1.1581616834464,0.686868,0.822198016553602,0.393606,0.7871663,1.1581616834464,0.686868,0.822198016553602,-0.225520408163265,-0.225520408163265,3.848,30.0977568463201,3.848,30.0977568463201,47.4,"38.385.241,00",3.65,"119,12","151517"
"2020-04",5.31320769230769,94.0374269230769,17.8053846153846,"BR",0.422800212866392,0.6987268,1.17426277898127,0.686868,0.946342208152334,0.422800212866392,0.6987268,1.17426277898127,0.686868,0.946342208152334,-0.31,-0.31,3.929,29.8870648760822,3.929,29.8870648760822,47.4,"38.385.241,00",3.65,"119,12","151517"
"2020-05",5.65388333333333,157.850947,27.9841666666667,"S",0.426816,0.8742626,1.07260047367391,0.686868,0.636452926326086,0.426816,0.8742626,1.07260047367391,0.686868,0.636452926326086,-0.226850299401198,-0.226850299401198,3.697,29.0127258229351,3.697,29.0127258229351,52.9,"38.011.645,00",3.0125,"119,78","145661"
"2020-05",5.65388333333333,157.850947,27.9841666666667,"NE",0.462915,0.8276813,1.2362124262512,0.686868,0.642323273748802,0.462915,0.8276813,1.2362124262512,0.686868,0.642323273748802,-0.178296390120329,-0.178296390120329,3.856,32.0594508882572,3.856,32.0594508882572,52.9,"38.011.645,00",3.0125,"119,78","145661"
"2020-05",5.65388333333333,157.850947,27.9841666666667,"N",0.462915,0.7872101,1.10849721811611,0.686868,0.955509681883892,0.462915,0.7872101,1.10849721811611,0.686868,0.955509681883892,-0.345303370786517,-0.345303370786517,4.001,27.7055040768835,4.001,27.7055040768835,52.9,"38.011.645,00",3.0125,"119,78","145661"
