REGIÃO;UF;VENDAS DE GASOLINA C;ANO
Nordeste;Pernambuco;1311,137666;2018
Nordeste;Alagoas;417,718713;2018
Nordeste;Sergipe;370,116044;2018
Nordeste;Bahia;2010,769645;2018
Sudeste;Minas Gerais;3572,714948;2018
Sudeste;Espírito Santo;909,645075;2018
Sudeste;Rio de Janeiro;2001,603031;2018
Sudeste;São Paulo;8425,692442;2018
Sul ;Paraná ;2535,773936;2018
Sul ;Santa Catarina;2750,212923;2018
Sul ;Rio Grande do Sul ;3461,000803;2018
Centro-Oeste;Mato Grosso do Sul ;712,686886;2018
Centro-Oeste;Mato Grosso;521,857271;2018
Centro-Oeste;Goiás;1223,071022;2018
Centro-Oeste;Distrito Federal ;1090,790633;2018
Norte;Rondônia ;440,066883;2019
Norte;Acre ;138,001402;2019
Norte;Amazonas ;647,740531;2019
Norte;Roraima ;153,67613;2019
Norte;Pará ;1176,565934;2019
Norte;Amapá;170,073113;2019
Norte;Tocantins ;365,4022;2019
Nordeste;Maranhão ;949,378146;2019
Nordeste;Piauí ;560,883723;2019
Nordeste;Ceará ;1385,259814;2019
Nordeste;Rio Grande do Norte ;620,525147;2019
Nordeste;Paraíba ;653,092791;2019
Nordeste;Pernambuco;1367,866545;2019
Nordeste;Alagoas;437,071223;2019
Nordeste;Sergipe;380,080416;2019
Nordeste;Bahia;2043,682942;2019
Sudeste;Minas Gerais;3300,67172;2019
Sudeste;Espírito Santo;932,664148;2019
Sudeste;Rio de Janeiro;2033,178936;2019
Sudeste;São Paulo;7947,691132;2019
Sul ;Paraná ;2514,962032;2019
Sul ;Santa Catarina;2885,318418;2019
Sul ;Rio Grande do Sul ;3553,480336;2019
Centro-Oeste;Mato Grosso do Sul ;768,148201;2019
Centro-Oeste;Mato Grosso;475,309092;2019
Centro-Oeste;Goiás;1141,131395;2019
Centro-Oeste;Distrito Federal ;1123,11442;2019
