COMBUSTÍVEL;ANO;SEGMENTO;ESTADO;UNIDADE; Jan ; Fev ; Mar ; Abr ; Mai ; Jun ; Jul ; Ago ; Set ; Out ; Nov ; Dez ; TOTAL 
GASOLINA C (m3);2020;CONSUMIDOR FINAL;MATO GROSSO;m3;380;272;371;182;264;245;338;280;308;320;321;;3.280
GASOLINA C (m3);2020;CONSUMIDOR FINAL;GOIÁS;m3;338;344;344;323;298;300;404;359;386;344;404;;3.840
GASOLINA C (m3);2020;CONSUMIDOR FINAL;DISTRITO FEDERAL;m3;243;258;325;193;200;216;161;178;153;207;216;;2.350
GASOLINA C (m3);2020;TRR;RONDÔNIA;m3; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   
GASOLINA C (m3);2020;TRR;ACRE;m3; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   
GASOLINA C (m3);2020;TRR;AMAZONAS;m3; -   ; -   ; -   ;100;86;220;390;25;85;92;60;;1.058
GASOLINA C (m3);2020;TRR;RORAIMA;m3; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   
GASOLINA C (m3);2020;TRR;PARÁ;m3;2.016;1.531;1.499;1.418;1.375;1.317;1.574;1.600;1.492;1.659;1.856;;17.337
GASOLINA C (m3);2020;TRR;AMAPÁ;m3; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   
GASOLINA C (m3);2020;TRR;TOCANTINS;m3;110;106;105;100;100;90;135;111;112;112;135;;1.216
GASOLINA C (m3);2020;TRR;MARANHÃO;m3; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   
GASOLINA C (m3);2020;TRR;PIAUÍ;m3; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   
GASOLINA C (m3);2020;TRR;CEARÁ;m3; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   
GASOLINA C (m3);2020;TRR;RIO GRANDE DO NORTE;m3; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   
GASOLINA C (m3);2020;TRR;PARAÍBA;m3; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   
GASOLINA C (m3);2020;TRR;PERNAMBUCO;m3; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   
GASOLINA C (m3);2020;TRR;ALAGOAS;m3; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   
GASOLINA C (m3);2020;TRR;SERGIPE;m3; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   
GASOLINA C (m3);2020;TRR;BAHIA;m3; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   
GASOLINA C (m3);2020;TRR;MINAS GERAIS;m3;291;301;316;198;311;296;378;316;366;361;338;;3.472
GASOLINA C (m3);2020;TRR;ESPÍRITO SANTO;m3; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   
GASOLINA C (m3);2020;TRR;RIO DE JANEIRO;m3; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   
GASOLINA C (m3);2020;TRR;SÃO PAULO;m3;605;600;630;300;395;480;575;485;490;590;540;;5.690
GASOLINA C (m3);2020;TRR;PARANÁ;m3;326;327;315;272;331;341;359;322;334;370;353;;3.650
GASOLINA C (m3);2020;TRR;SANTA CATARINA;m3; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   
GASOLINA C (m3);2020;TRR;RIO GRANDE DO SUL;m3;771;744;520;480;597;589;577;642;687;785;740;;7.132
GASOLINA C (m3);2020;TRR;MATO GROSSO DO SUL;m3; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   
GASOLINA C (m3);2020;TRR;MATO GROSSO;m3;68;76;78;61;74;82;70;55;65;75;85;;789
GASOLINA C (m3);2020;TRR;GOIÁS;m3; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   
GASOLINA C (m3);2020;TRR;DISTRITO FEDERAL;m3; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;; -   
